,Detail_Short,Floor Size (in sqft),Last_Sold_Date,Last_Sold_Price,Locality,Lot_size,Number of Rooms,Postal_Code,Region,Street,Title,Type,Year_build
101,"15 Cheyenne Dr , Pennington, NJ 08534-5124 is currently not for sale. The 5,600 sq. ft. single-family home is a 4 bed, 5.0 bath property. This home was built in 2001 and last sold on 5/29/2020 for $874,000. View more property details, sales history and Zestimate data on Zillow.","3,123",05/29/20,"$874,000",Pennington,2.44 Acres,,8534,NJ,17 Cheyenne Dr,"15 Cheyenne Dr, Pennington, NJ 08534 | Zillow",Single Family Residence,2001
102,"32 Burd Rd , Pennington, NJ 08534-3901 is currently not for sale. The 1,608 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1965 and last sold on 5/29/2020 for $325,000. View more property details, sales history and Zestimate data on Zillow.","1,524",05/29/20,"$325,000",Pennington,0.67 Acres,,8534,NJ,30 Burd Rd,"32 Burd Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1965
103,"168 Coburn Rd , Pennington, NJ 08534-5144 is currently not for sale. The 1,828 sq. ft. townhouse is a 2 bed, 3.0 bath unit. This townhouse was built in 1997 and last sold on 5/22/2020 for $325,000. View more property details, sales history and Zestimate data on Zillow.","1,828",05/22/20,"$325,000",Pennington,No Data,2.0,8534,NJ,166 Coburn Rd,"168 Coburn Rd, Pennington, NJ 08534 | Zillow",Townhouse,1997
104,"28 Orchard Ave , Pennington, NJ 08534-5212 is currently not for sale. The 1,305 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1957 and last sold on 5/21/2020 for $327,500. View more property details, sales history and Zestimate data on Zillow.","1,469",05/21/20,"$327,500",Pennington,0.57 Acres,,8534,NJ,30 Orchard Ave,"28 Orchard Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1957
105,"27 Temple Ct , Pennington, NJ 08534-5151 is currently not for sale. The 1,920 sq. ft. single-family home is a bed, bath property. This home was built in 1997 and last sold on 5/20/2020 for $369,500. View more property details, sales history and Zestimate data on Zillow.","1,870",05/20/20,"$369,500",Pennington,"9,147 sqft",3.0,8534,NJ,29 Temple Ct,"27 Temple Ct, Pennington, NJ 08534 | Zillow",SingleFamily,1997
106,"1 Moorhead Dr , Pennington, NJ 08534-1700 is currently not for sale. The 5,052 sq. ft. single-family home is a bed, bath property. This home was built in 2000 and last sold on 5/20/2020 for $2,740,362. View more property details, sales history and Zestimate data on Zillow.","1,672",05/20/20,"$2,740,362",Pennington,2.50 Acres,3.0,8534,NJ,206 Penn View Dr,"1 Moorhead Dr, Pennington, NJ 08534 | Zillow",SingleFamily,2000
107,"215 Brinley Dr , Pennington, NJ 08534-5190 is currently not for sale. The sq. ft. single-family home is a 3 bed, 3.0 bath property. This home was built in 2004 and last sold on 5/18/2020 for $389,900. View more property details, sales history and Zestimate data on Zillow.","1,960",05/18/20,"$389,900",Pennington,No Data,3.0,8534,NJ,211 Brinley Dr,"215 Brinley Dr, Pennington, NJ 08534 | Zillow",Single Family Residence,2004
108,"111 Search Ave , Pennington, NJ 08534-3512 is currently not for sale. The sq. ft. single-family home is a 4 bed, 1.0 bath property. This home was built in 1935 and last sold on 3/23/2020 for $330,000. View more property details, sales history and Zestimate data on Zillow.","1,839",03/23/20,"$330,000",Pennington,0.45 Acres,,8534,NJ,109 Search Ave,"111 Search Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1935
109,"100 Marsh Corner Woodsvl Rd , Hopewell, NJ 08525 is currently not for sale. The 1,680 sq. ft. single-family home is a bed, bath property. This home was built in 1965 and last sold on 3/19/2020 for $425,000. View more property details, sales history and Zestimate data on Zillow.","1,680",03/19/20,"$425,000",Hopewell,2 Acres,3.0,8525,NJ,100 Marshall Corner Woodsville Rd,"100 Marsh Corner Woodsvl Rd, Hopewell, NJ 08525 | Zillow",SingleFamily,1965
110,"32 Lake Baldwin Dr , Pennington, NJ 08534-4312 is currently not for sale. The sq. ft. single-family home is a 4 bed, 4.0 bath property. This home was built in 2002 and last sold on 3/19/2020 for $645,000. View more property details, sales history and Zestimate data on Zillow.","3,336",03/19/20,"$645,000",Pennington,3.05 Acres,4.0,8534,NJ,30 Lake Baldwin Dr,"32 Lake Baldwin Dr, Pennington, NJ 08534 | Zillow",SingleFamily,2002
111,"106 Castleton Ct , Pennington, NJ 08534-1994 is currently not for sale. The 850 sq. ft. condo is a 2 bed, 1.0 bath unit. This condo was built in 1994 and last sold on 3/17/2020 for $53,000. View more property details, sales history and Zestimate data on Zillow.",850,03/17/20,"$53,000",Pennington,,,8534,NJ,206 Castleton Ct,"106 Castleton Ct, Pennington, NJ 08534 | Zillow",Condominium,1994
112,"441 Sked St , Pennington, NJ 08534-2726 is currently not for sale. The 2,113 sq. ft. single-family home is a 4 bed, 4.0 bath property. This home was built in 2004 and last sold on 3/13/2020 for $735,000. View more property details, sales history and Zestimate data on Zillow.",,03/13/20,"$735,000",Pennington,0.28 Acres,4.0,8534,NJ,439 Sked St,"441 Sked St, Pennington, NJ 08534 | Zillow",Single Family Residence,2004
113,"207 Penn Rocky Hill Rd , Pennington, NJ 08534 is currently not for sale. The 2,555 sq. ft. single-family home is a 4 bed, 2.0 bath property. This home was built in 1975 and last sold on 3/9/2020 for $463,000. View more property details, sales history and Zestimate data on Zillow.","2,555",03/09/20,"$463,000",Pennington,1.62 Acres,4.0,8534,NJ,207 Pennington Rocky Hill Rd,"207 Penn Rocky Hill Rd, Pennington, NJ 08534 | Zillow",Detached,1975
114,"306 Penn Harbourton Rd , Pennington, NJ 08534 is currently not for sale. The 878 sq. ft. single-family home is a bed, bath property. This home was built in 1939 and last sold on 3/6/2020 for $213,500. View more property details, sales history and Zestimate data on Zillow.","3,116",03/06/20,"$213,500",Pennington,7 Acres,,8534,NJ,310 Penn Harbourton Rd,"306 Penn Harbourton Rd, Pennington, NJ 08534 | Zillow",SingleFamily,1939
115,"2405 Pennington Rd , Pennington, NJ 08534-5215 is currently not for sale. The sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1918 and last sold on 3/3/2020 for $241,500. View more property details, sales history and Zestimate data on Zillow.","1,524",03/03/20,"$241,500",Pennington,0.58 Acres,3.0,8534,NJ,2399 Pennington Rd,"2405 Pennington Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1918
116,"221 S Main St , Pennington, NJ 08534-2826 is a single-family home listed for-sale at $475,000. The 2,087 sq. ft. home is a 5 bed, 3.0 bath property. Find 12 photos of the 221 S Main St home on Zillow. View more property details, sales history and Zestimate data on Zillow. MLS # NJME299386","2,087",,Sold,Pennington,0.33 Acres,5.0,8534,NJ,221 S Main St,"221 S Main St, Pennington, NJ 08534 | MLS #NJME299386 | Zillow",Single Family Residence,1898
117,"286 Wargo Rd , Pennington, NJ 08534-1825 is currently not for sale. The 2,008 sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1972 and last sold on 1/10/2020 for $449,000. View more property details, sales history and Zestimate data on Zillow.","1,924",01/10/20,"$449,000",Pennington,1.29 Acres,4.0,8534,NJ,288 Wargo Rd,"286 Wargo Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1972
118,"41 Baldwin St , Pennington, NJ 08534-3303 is currently not for sale. The sq. ft. single-family home is a 3 bed, 3.0 bath property. This home was built in 1986 and last sold on 1/10/2020 for $590,000. View more property details, sales history and Zestimate data on Zillow.","2,841",01/10/20,"$590,000",Pennington,0.55 Acres,,8534,NJ,39 Baldwin St,"41 Baldwin St, Pennington, NJ 08534 | Zillow",SingleFamily,1986
119,"28 Wash Cross Penn Rd , Pennington, NJ 08534 is currently not for sale. The 1,200 sq. ft. single-family home is a bed, bath property. This home was built in 1956 and last sold on 12/31/2019 for $251,800. View more property details, sales history and Zestimate data on Zillow.","1,732",12/31/19,"$251,800",Pennington,0.46 Acres,,8534,NJ,30 Wash Cross Penn Rd,"28 Wash Cross Penn Rd, Pennington, NJ 08534 | Zillow",SingleFamily,1956
120,"30 W Delaware Ave , Pennington, NJ 08534-2201 is currently not for sale. The sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1843 and last sold on 12/31/2019 for $715,000. View more property details, sales history and Zestimate data on Zillow.","1,493",12/31/19,"$715,000",Pennington,"8,712 sqft",3.0,8534,NJ,7 Burd St,"30 W Delaware Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1843
121,"63 Lexington Dr , Pennington, NJ 08534-5169 is currently not for sale. The sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 2004 and last sold on 12/30/2019 for $470,000. View more property details, sales history and Zestimate data on Zillow.","2,591",12/30/19,"$470,000",Pennington,"6,534 sqft",,8534,NJ,61 Lexington Dr,"63 Lexington Dr, Pennington, NJ 08534 | Zillow",Single Family Residence,2004
122,"9 Rosedale Way , Pennington, NJ 08534-9740 is currently not for sale. The 5,001 sq. ft. single-family home is a 5 bed, 4.0 bath property. This home was built in 1996 and last sold on 12/30/2019 for $829,900. View more property details, sales history and Zestimate data on Zillow.","4,504",12/30/19,"$829,900",Pennington,1.97 Acres,5.0,8534,NJ,8 Rosedale Way,"9 Rosedale Way, Pennington, NJ 08534 | Zillow",Single Family Residence,1996
